ts,liquid_rate_in_hr,ice_rate_in_hr,snow_rate_in_hr,horizontal_mf_salt,road_liq_depth_in,road_ice_depth_in,road_unbndice_depth_in,road_cmpsnw_in,road_snow_depth_in,prct_ice,speed_mph,profile_speed,ref_speed,imputed,rel_speed
2017-12-12 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9376803231390654,0.8583140988651665,69.32,0.0,0.9376803231390654
2017-12-13 00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8700591459896134,0.8700591459896134,69.32,1.0,0.8700591459896134
2017-12-13 01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8311519697843992,0.8311519697843992,69.32,1.0,0.8311519697843992
2017-12-13 02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8078476630121177,0.8626658972879401,69.32,0.0,0.8078476630121177
2017-12-13 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7934218118869014,0.7934218118869014,69.32,1.0,0.7934218118869014
2017-12-13 04,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7068667051356031,0.8093142912098481,69.32,0.0,0.7068667051356031
2017-12-13 05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9010386612810157,0.8495307802107694,69.32,0.0,0.9010386612810157
2017-12-13 06,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8821407963069822,0.8398350897439792,69.32,0.0,0.8821407963069822
2017-12-13 07,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.005,0.06,100.0,0.8581938834391231,0.8377319525009871,69.32,0.0,0.8581938834391231
2017-12-13 08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.01,0.0,0.722590882862089,0.8517553983053422,69.32,0.0,0.722590882862089
2017-12-13 09,0.0,0.0,0.05,0.0,0.006,0.002,0.005,0.005,0.0,55.0,0.866993652625505,0.8785419260789018,69.32,0.0,0.866993652625505
2017-12-13 10,0.0,0.0,0.01,0.0,0.005,0.002,0.005,0.004,0.07,75.0,0.8724754760530872,0.9005907006408115,69.32,0.0,0.8724754760530872
2017-12-13 11,0.0,0.0,0.02,0.0,0.005,0.001,0.004,0.004,0.06,71.0,0.9020484708597808,0.8975916421174114,69.32,0.0,0.9020484708597808
2017-12-13 12,0.0,0.0,0.0,0.0,0.004,0.001,0.002,0.003,0.04,66.0,0.9199365262550492,0.9099675038722023,69.32,0.0,0.9199365262550492
2017-12-13 13,0.0,0.0,0.0,0.0,0.004,0.0,0.001,0.002,0.02,52.0,0.9141661858049626,0.8968931272208219,69.32,0.0,0.9141661858049626
2017-12-13 14,0.0,0.0,0.01,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.8759376803231391,0.8759756430892582,69.32,0.0,0.8759376803231391
2017-12-13 15,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9359492210040392,0.9095650985513409,69.32,0.0,0.9359492210040392
2017-12-13 16,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8612233121754185,0.9144547028274669,69.32,0.0,0.8612233121754185
2017-12-13 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9265724177726488,0.9043717921462631,69.32,0.0,0.9265724177726488
2017-12-13 18,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8988747836122333,0.8817383909861208,69.32,0.0,0.8988747836122333
2017-12-13 19,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9086843623773804,0.9086843623773804,69.32,1.0,0.9086843623773804
2017-12-13 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7787074437391807,0.8557669461321749,69.32,0.0,0.7787074437391807
2017-12-13 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8366993652625506,0.8457952440246607,69.32,0.0,0.8366993652625506
2017-12-13 22,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9519619157530295,0.8865486952619094,69.32,0.0,0.9519619157530295
2017-12-13 23,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8157674552798616,0.8157674552798616,69.32,1.0,0.8157674552798616
2017-12-14 00,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499505399389993,0.8499505399389993,69.32,1.0,0.8499505399389993
